start_ts,weather_conditions,duration_seconds
25/11/2017 12:00,Good,1380
25/11/2017 16:00,Good,2410
25/11/2017 14:00,Good,1920
25/11/2017 12:00,Good,1543
04/11/2017 10:00,Good,2512
11/11/2017 07:00,Good,1440
11/11/2017 04:00,Good,1320
04/11/2017 16:00,Bad,2969
18/11/2017 11:00,Good,2280
04/11/2017 16:00,Bad,3120
11/11/2017 15:00,Good,4800
04/11/2017 05:00,Good,1260
11/11/2017 06:00,Good,1346
04/11/2017 04:00,Good,1333
04/11/2017 11:00,Good,2574
11/11/2017 12:00,Good,2441
04/11/2017 14:00,Good,3300
11/11/2017 14:00,Good,2460
11/11/2017 12:00,Good,2040
18/11/2017 06:00,Good,1500
04/11/2017 11:00,Good,2040
11/11/2017 08:00,Good,1470
04/11/2017 08:00,Good,1546
11/11/2017 16:00,Good,2100
25/11/2017 13:00,Good,60
04/11/2017 12:00,Good,2640
25/11/2017 10:00,Good,1502
11/11/2017 12:00,Good,1915
04/11/2017 12:00,Good,2769
11/11/2017 13:00,Good,2250
11/11/2017 04:00,Good,1260
18/11/2017 14:00,Good,2826
04/11/2017 14:00,Good,3360
04/11/2017 14:00,Good,3180
25/11/2017 20:00,Good,2100
04/11/2017 10:00,Good,1800
11/11/2017 12:00,Good,2289
04/11/2017 08:00,Good,1494
11/11/2017 11:00,Good,1560
18/11/2017 12:00,Bad,1980
11/11/2017 13:00,Good,2115
11/11/2017 10:00,Good,1506
04/11/2017 12:00,Good,2580
04/11/2017 17:00,Bad,2460
11/11/2017 09:00,Good,1620
04/11/2017 06:00,Good,1163
04/11/2017 05:00,Good,1533
11/11/2017 04:00,Good,1477
11/11/2017 19:00,Good,1984
04/11/2017 13:00,Good,2940
04/11/2017 07:00,Good,1320
04/11/2017 06:00,Good,1440
11/11/2017 06:00,Good,1260
11/11/2017 08:00,Good,1560
04/11/2017 09:00,Good,1683
11/11/2017 05:00,Good,1343
18/11/2017 06:00,Good,1742
04/11/2017 09:00,Good,1560
11/11/2017 08:00,Good,1358
11/11/2017 12:00,Good,1980
04/11/2017 16:00,Bad,2760
18/11/2017 12:00,Bad,2460
18/11/2017 10:00,Bad,1440
25/11/2017 14:00,Good,1620
11/11/2017 08:00,Good,1415
25/11/2017 05:00,Good,1325
18/11/2017 06:00,Good,2100
11/11/2017 08:00,Good,1320
11/11/2017 10:00,Good,1260
11/11/2017 06:00,Good,1260
11/11/2017 08:00,Good,1200
25/11/2017 08:00,Good,1320
11/11/2017 18:00,Good,2280
25/11/2017 10:00,Good,1320
04/11/2017 06:00,Good,1140
11/11/2017 18:00,Good,2520
18/11/2017 16:00,Bad,3000
11/11/2017 19:00,Good,1920
04/11/2017 18:00,Bad,2363
04/11/2017 14:00,Good,3084
11/11/2017 08:00,Good,1380
11/11/2017 08:00,Good,1380
04/11/2017 09:00,Good,1380
04/11/2017 09:00,Good,1380
11/11/2017 12:00,Good,2213
11/11/2017 08:00,Good,1140
11/11/2017 10:00,Good,1435
04/11/2017 10:00,Good,2460
11/11/2017 07:00,Good,1200
04/11/2017 15:00,Good,3201
11/11/2017 11:00,Good,2074
